Designator,Footprint,Quantity,Value,LCSC Part #,Link,Cost
C1,CP_Elec_6.3x7.7,1,470u,C2836436,,
C12,CP_Elec_6.3x7.7,1,100u,C4747963,,
C3,CP_Elec_6.3x7.7,1,180u,C49233128,,
D4,D_SMA,1,D_Schottky, C22452,,
"GND2, GND3, PH2, SCL1, SDA1, VCC2, VCC3",PinHeader_1x07_P2.54mm_Vertical,7,Conn_01x07,C6332200,,
J1,Jack_XLR_Neutrik_NC3MAAH_Horizontal,1,DMX_IN,C309324,,
J2,Jack_XLR_Neutrik_NC3FAAH-0_Horizontal,1,DMX_OUT,C309326,,
J3,BarrelJack_Horizontal,1,DC-005 2.0,C16214,,
L1,805,1,68uL,,,
"R1, R2",805,2,680R,C17437,,
R3,805,1,120R,C17437,,
SW1,SW-TH_MSS22D18GX,1,POWER_EN,C431542,,
U1,SO08,1,MAX3430ESA,C668206,,
U3,MODULE_ESP32_NODEMCU,1,ESP32_NODEMCU,,,
U4,5V_BUCK,1,XL1509-5.0E1,C61063,,
LEDStrip,N/A,1,,,https://nl.aliexpress.com/item/1005005571899461.html?spm=a2g0o.productlist.main.4.665f37ddTtCakr&aem_p4p_detail=20260120092506975549184921630000408033&algo_pvid=70e2edbd-284e-4c23-a590-87fca9d8a555&algo_exp_id=70e2edbd-284e-4c23-a590-87fca9d8a555-3&pdp_ext_f=%7B%22order%22%3A%22762%22%2C%22eval%22%3A%221%22%2C%22fromPage%22%3A%22search%22%7D&pdp_npi=6%40dis%21EUR%2115.56%219.49%21%21%21123.00%2175.02%21%402103894417689299061421861e4970%2112000042724055295%21sea%21NL%214889467158%21X%211%210%21n_tag%3A-29919%3Bd%3A641b0626%3Bm03_new_user%3A-29895&curPageLogUid=jPtSYklllg8A&utparam-url=scene%3Asearch%7Cquery_from%3A%7Cx_object_id%3A1005005571899461%7C_p_origin_prod%3A&search_p4p_id=20260120092506975549184921630000408033_1,€13.59
Cover 1m,N/A,2,,,https://acrylhaus.com/Acrylglasrohr-rund-XT-satiniert-O-20-14mm-Aussen-Innen-1000mm,€38.86
PCB,N/A,5,,,N/A,€1.74
PCBA,N/A,5,,,N/A,€34.24
